File,Col,Row,Uri
KNSR4191_1,0,0,http://www.wikidata.org/entity/Q7432
KNSR4191_1,0,1,http://www.wikidata.org/entity/Q116167219
KNSR4191_1,0,2,http://www.wikidata.org/entity/Q14809702
KNSR4191_1,0,3,http://www.wikidata.org/entity/Q18123008
KNSR4191_1,0,4,http://www.wikidata.org/entity/Q285029
KNSR4191_1,0,5,http://www.wikidata.org/entity/Q166111
KNSR4191_1,0,6,http://www.wikidata.org/entity/Q225965
KNSR4191_1,1,0,http://www.wikidata.org/entity/Q2095
KNSR4191_1,1,1,NIL
KNSR4191_1,1,2,NIL
KNSR4191_1,1,3,NIL
KNSR4191_1,1,4,http://www.wikidata.org/entity/Q115369301
KNSR4191_1,1,5,http://www.wikidata.org/entity/Q107146596
KNSR4191_1,1,6,http://www.wikidata.org/entity/Q52613355
KNSR4191_1,2,0,http://www.wikidata.org/entity/Q2095
KNSR4191_1,2,1,NIL
KNSR4191_1,2,2,NIL
KNSR4191_1,2,3,http://www.wikidata.org/entity/Q28140984
KNSR4191_1,2,4,NIL
KNSR4191_1,2,5,NIL
KNSR4191_1,2,6,http://www.wikidata.org/entity/Q39318211
KNSR4191_1,3,0,http://www.wikidata.org/entity/Q1713
KNSR4191_1,3,1,http://www.wikidata.org/entity/Q33578463
KNSR4191_1,3,2,NIL
KNSR4191_1,3,3,NIL
KNSR4191_1,3,4,NIL
KNSR4191_1,3,5,NIL
KNSR4191_1,3,6,NIL
